year,mean_lst_c,scene_count,low_confidence
2013,49.51726421922978,2,True
2014,43.52713211906847,6,False
2015,45.634005756962175,5,False
2016,45.83394783807304,7,False
2017,44.054219773462,7,False
2018,41.59863141510918,7,False
2019,46.06975238599475,5,False
2020,44.1270265560076,6,False
2021,43.160042382790934,6,False
2022,44.05797270603644,5,False
2023,44.58049344856105,3,False
2024,40.89088967558836,7,False
